release_year,avg_playtime,metacritic_score,number_of_achievements,multiplayer,price
2008,34.92,69.5,141,0,51.11
2021,33.64,74.0,99,1,74.51
2007,53.77,70.9,108,1,72.3
2017,19.57,57.2,119,0,60.89
2013,72.51,73.8,78,0,65.73
2011,68.15,64.9,133,1,70.96
2019,32.92,77.5,18,0,65.65
2015,22.72,86.1,126,0,69.64
2024,1.0,52.9,28,0,54.0
2006,14.97,70.9,23,0,49.51
2019,54.6,79.5,9,0,61.23
2018,46.31,53.2,104,1,66.09
2024,49.87,88.4,144,0,83.95
2015,3.09,78.8,54,1,73.51
2007,32.08,85.8,146,1,70.47
2021,67.35,69.4,1,1,76.65
2016,38.08,70.6,146,0,69.91
2019,14.55,73.4,134,0,66.04
2020,37.77,95.0,110,0,71.89
2009,24.58,88.2,37,1,75.88
2024,46.67,76.3,130,0,80.6
2010,40.41,77.5,101,0,65.03
2023,50.87,81.3,94,0,77.61
2009,15.64,95.0,91,0,58.69
2007,31.03,78.8,70,0,63.04
2005,61.81,75.5,23,0,65.58
2010,12.91,71.6,67,0,49.53
2019,19.94,77.3,127,0,75.94
2006,43.99,69.1,92,0,62.22
2007,45.73,80.0,43,1,62.87
2021,30.22,60.7,132,0,62.3
2016,34.43,72.4,54,0,55.89
2022,50.66,82.3,28,0,73.45
2019,56.99,78.7,36,0,73.14
2016,18.62,70.4,114,1,63.88
2020,47.29,72.7,2,0,67.46
2012,70.24,85.4,121,1,86.06
2018,37.68,62.9,42,1,70.87
2021,18.4,63.0,6,1,67.61
2012,17.48,65.7,124,0,51.13
2019,36.79,74.9,48,0,65.96
2018,60.72,61.4,120,1,75.99
2022,39.18,84.5,72,0,82.65
2024,43.78,65.8,40,1,74.66
2011,20.07,77.2,105,1,71.81
2007,59.66,69.2,76,1,62.29
2016,17.09,74.3,126,0,59.06
2007,29.91,59.0,90,1,51.65
2024,52.6,85.0,7,1,81.84
2018,1.0,65.4,31,1,73.1
2019,43.48,64.3,63,0,61.03
2018,19.22,95.0,137,0,79.46
2011,40.33,80.5,12,0,64.51
2021,32.96,84.6,92,0,69.2
2016,82.12,79.6,60,0,71.74
2024,32.14,70.5,7,1,76.73
2008,76.85,61.9,28,0,58.44
2013,51.74,72.0,94,1,62.9
2010,23.97,65.2,40,0,55.18
2020,46.62,65.8,148,0,66.55
2006,33.91,59.2,10,0,43.35
2012,44.84,76.1,1,0,62.47
2015,25.72,90.7,130,1,89.34
2017,73.8,80.6,79,0,73.91
2021,58.51,73.9,86,1,86.74
2012,40.64,74.6,105,0,57.04
2022,74.58,44.5,138,1,72.6
2022,41.49,70.8,16,0,63.3
2018,61.95,60.7,22,0,62.57
2019,40.77,76.3,47,0,66.36
2010,47.88,72.4,19,0,51.63
2015,38.37,66.3,1,0,52.52
2017,41.91,76.1,87,1,68.08
2005,43.41,76.0,30,1,57.49
2010,26.61,90.2,129,1,79.94
2013,31.98,81.9,77,0,64.72
2012,35.66,77.2,3,0,60.84
2015,44.59,65.5,140,0,73.53
2023,39.39,64.3,127,1,75.31
2013,63.46,81.0,133,1,84.23
2021,56.94,73.0,30,1,77.48
2016,36.07,77.5,137,1,91.62
2018,67.64,84.8,20,0,58.85
2019,77.46,59.9,22,0,60.27
2020,1.0,89.0,130,0,76.41
2024,58.65,84.7,147,0,79.93
2005,26.14,54.5,28,0,45.38
2014,56.01,95.0,104,0,78.0
2012,64.76,78.2,51,1,79.3
2022,22.46,70.2,114,1,70.12
2005,2.95,80.2,100,1,64.4
2006,56.71,65.2,83,1,66.4
2005,42.71,80.5,60,0,60.3
2005,6.63,67.1,124,0,51.47
2013,90.59,95.0,70,1,95.0
2017,52.49,75.6,69,0,60.32
2005,53.4,81.5,138,0,66.28
2017,67.32,67.1,107,0,62.57
2024,28.38,83.2,20,0,75.83
2011,42.61,74.9,130,0,60.94
2006,13.61,60.9,81,0,34.97
2010,27.84,72.6,87,0,62.74
2011,47.71,94.3,110,1,81.27
2018,6.69,83.6,9,0,65.43
2022,27.27,71.2,11,0,70.98
2019,21.44,56.3,6,0,54.73
2006,42.84,66.7,144,0,58.61
2014,51.49,60.9,113,1,68.81
2016,54.84,56.5,25,1,58.81
2021,59.98,82.9,14,1,80.85
2012,67.44,75.6,32,0,75.0
2015,52.14,93.0,61,0,73.47
2007,77.75,65.0,46,0,57.29
2010,42.39,75.0,94,0,68.83
2013,36.53,61.1,34,0,46.4
2010,52.15,69.1,75,0,63.2
2013,35.67,72.8,122,0,56.3
2011,77.05,71.3,82,1,76.08
2013,62.62,75.5,24,0,64.65
2022,55.01,84.7,56,1,88.07
2016,42.63,83.7,31,0,63.51
2012,31.85,67.3,62,0,54.46
2012,54.03,74.7,11,1,72.92
2022,17.46,82.9,62,1,76.24
2024,70.69,85.4,76,0,86.06
2019,36.45,68.4,91,0,66.46
2011,46.1,82.1,0,0,60.53
2015,21.81,78.3,69,0,62.3
2024,54.46,64.3,135,1,80.31
2020,30.93,83.0,132,1,81.64
2008,52.98,76.5,85,1,74.51
2010,55.15,57.6,38,0,51.11
2007,27.05,72.1,22,1,57.92
2013,17.53,75.4,67,0,64.63
2014,70.64,68.9,3,1,68.31
2018,36.15,87.3,125,1,81.01
2015,44.5,87.6,20,0,57.07
2022,49.71,71.2,104,0,66.65
2016,14.93,70.1,65,0,55.13
2016,49.25,73.7,6,0,60.63
2017,41.98,73.0,48,1,69.19
2017,27.13,69.1,15,0,63.87
2023,16.87,40.0,144,0,50.25
2023,52.12,92.5,83,0,79.14
2018,62.55,75.0,86,1,80.36
2008,43.57,73.2,97,0,54.89
2017,11.31,78.3,74,1,79.94
2012,18.85,74.2,33,1,69.19
2023,31.36,70.7,25,1,67.86
2016,71.29,64.9,65,0,70.28
2022,35.06,56.6,124,0,69.48
2010,30.63,61.5,62,0,46.71
2022,6.53,63.8,86,0,54.97
2023,26.87,81.5,40,0,68.13
2009,15.34,82.2,97,1,62.4
2013,19.94,66.2,123,0,54.73
2007,42.4,48.4,78,1,52.04
2014,31.98,75.1,9,0,62.51
2023,73.99,70.8,14,1,80.0
2007,61.56,70.5,41,1,65.41
2019,27.82,84.6,92,1,77.84
2005,21.66,76.4,16,1,53.7
2011,67.65,65.2,8,1,68.92
2016,73.2,62.9,113,1,77.74
2021,1.0,72.4,35,0,57.8
2024,41.86,65.9,35,0,60.69
2009,34.96,74.3,47,0,65.71
2008,52.98,85.3,50,0,66.71
2016,78.85,61.2,96,0,68.01
2024,30.32,75.9,118,0,75.79
2022,1.0,84.2,94,0,64.51
2021,51.58,74.1,69,0,78.55
2023,67.8,82.2,73,0,77.31
2013,33.92,72.1,79,1,73.61
2008,25.9,76.7,67,0,65.28
2006,31.25,79.4,149,1,71.05
2008,57.0,69.3,76,0,53.48
2006,30.91,94.9,115,1,64.17
2019,46.58,80.8,5,1,76.63
2006,40.56,88.0,74,1,73.85
2008,38.49,85.7,87,1,70.48
2010,54.03,78.3,2,0,62.02
2011,30.43,88.9,51,1,76.49
2014,31.39,76.9,73,1,76.97
2023,55.95,67.7,124,1,79.7
2023,20.26,75.1,64,1,75.99
2016,22.4,64.9,51,0,56.29
2007,14.79,54.0,75,1,52.73
2017,56.98,66.5,141,0,65.87
2022,37.9,75.7,88,0,68.96
2012,13.73,85.6,71,0,61.74
2019,57.08,66.4,67,1,75.12
2005,28.89,85.1,137,0,59.5
2007,22.57,62.9,114,0,49.88
2012,36.09,65.8,56,0,65.76
2008,69.57,89.5,65,1,83.31
2020,32.1,75.5,89,1,72.22
2014,51.51,73.3,49,0,68.33
2016,54.54,77.4,13,0,69.44
2018,48.87,62.9,15,1,67.43
2018,65.42,71.7,41,1,72.57
2006,25.86,75.0,109,1,61.53
2009,19.13,87.3,21,0,61.9
2009,18.74,58.3,67,1,52.28
2010,37.11,92.6,18,0,72.27
2017,21.06,73.8,65,0,69.79
2013,42.95,63.9,72,0,58.18
2019,41.54,62.1,146,0,71.47
2018,60.37,77.7,143,1,81.41
2011,45.82,61.5,53,0,51.52
2024,31.68,69.4,111,0,75.7
2006,48.22,72.5,17,0,63.03
2011,19.4,86.4,116,0,76.54
2010,39.24,85.2,84,0,68.34
2021,46.39,68.6,138,0,75.25
2006,42.59,72.9,38,0,57.08
2007,48.3,59.0,104,1,68.59
2009,27.12,54.6,67,1,58.09
2009,63.04,62.7,24,1,67.24
2005,76.44,86.2,122,0,65.0
2012,7.95,82.8,120,1,71.04
2016,15.69,78.8,60,1,75.64
2008,40.86,60.4,99,1,65.31
2017,34.87,67.9,50,1,73.77
2019,77.93,66.4,97,0,71.55
2015,44.4,73.3,136,1,72.87
2014,67.85,72.7,1,0,63.49
2007,1.0,65.0,4,0,44.68
2018,56.28,78.5,85,0,73.55
2020,25.69,77.3,132,0,66.26
2014,25.37,67.7,67,1,64.88
2014,35.03,78.0,8,0,61.43
2016,11.51,86.2,92,0,57.04
2013,48.86,89.3,149,1,87.98
2005,43.81,79.9,137,0,64.2
2009,45.32,79.6,124,0,67.33
2024,57.74,72.6,60,1,78.58
2012,70.3,85.3,50,1,82.22
2015,32.73,64.3,9,0,51.35
2016,49.55,84.1,133,1,79.58
2005,45.86,72.1,61,0,59.13
2024,47.55,89.9,112,0,84.67
2015,47.85,80.9,132,0,65.83
2009,71.81,74.3,121,0,75.07
2019,30.81,72.6,122,1,72.45
2009,9.49,80.3,62,1,65.19
2016,26.04,79.8,110,0,76.83
2009,55.15,71.0,88,0,51.08
2021,40.47,75.9,50,1,68.8
2021,30.65,84.0,131,0,78.14
2016,18.47,61.4,103,0,45.01
2019,44.43,82.3,122,1,72.88
2019,52.89,80.2,47,1,85.47
2010,46.12,86.9,31,1,71.86
2016,34.93,67.8,119,0,74.89
2024,42.93,75.1,98,1,76.89
2022,42.82,77.1,73,0,70.61
2018,43.79,82.4,33,0,72.52
2006,16.31,79.3,69,0,58.7
2013,43.95,62.6,109,0,58.47
2009,31.19,77.9,15,0,54.34
2024,60.81,95.0,58,0,85.88
2005,42.66,81.1,18,0,64.74
2007,56.71,91.4,94,1,82.31
2010,33.96,85.4,112,0,64.25
2009,34.69,88.6,40,0,59.76
2009,69.89,78.1,80,0,63.27
2005,48.73,80.2,102,0,56.15
2021,25.71,77.6,53,1,76.82
2023,57.94,75.0,94,0,79.38
2018,29.33,82.4,146,1,80.95
2016,44.51,69.8,61,0,72.02
2014,76.73,93.9,98,0,89.41
2024,11.37,65.7,92,1,73.9
2022,36.48,83.1,64,1,85.34
2015,48.17,88.8,67,0,68.47
2006,55.29,73.2,27,1,63.26
2022,15.18,63.9,17,0,65.02
2011,9.28,86.6,25,1,65.82
2019,61.81,77.0,103,1,89.58
2015,25.59,83.1,146,1,84.27
2022,24.75,73.9,54,1,78.72
2016,71.0,92.3,118,0,75.65
2010,41.39,53.8,123,1,59.71
2024,41.52,78.8,133,0,80.68
2017,36.4,88.4,128,0,70.74
2024,15.52,76.1,7,0,64.95
2020,53.51,78.0,50,0,75.3
2022,48.19,70.7,84,1,75.52
2014,43.37,75.2,24,0,58.28
2012,37.67,58.3,82,0,45.49
2022,34.15,67.8,92,0,65.3
2005,58.25,67.1,116,0,61.97
2012,37.17,81.7,137,1,72.51
2010,38.72,69.3,55,0,57.29
2009,50.6,69.6,11,1,63.01
2019,44.16,71.2,119,1,74.05
2019,72.85,67.5,70,1,81.57
2006,4.77,77.7,16,0,59.37
2005,46.0,78.8,121,1,75.36
2015,25.89,83.3,123,0,66.18
2014,21.16,81.5,9,1,79.55
2022,30.86,80.5,30,0,75.0
2022,41.09,71.7,59,0,66.28
2021,41.98,71.1,69,0,64.21
2012,9.65,66.3,16,1,64.6
2019,29.18,66.1,49,0,61.95
2012,45.62,76.9,36,0,58.46
2021,22.46,67.8,117,0,65.18
2016,17.7,89.7,79,1,76.21
2012,1.0,74.6,10,1,57.44
2018,26.74,90.0,133,0,81.14
2008,17.01,80.7,122,1,73.32
2005,20.32,67.2,34,0,52.55
2005,34.56,74.4,32,0,58.1
2023,28.0,58.3,17,1,62.0
2020,16.68,76.9,12,0,60.53
2018,1.0,68.1,89,0,66.36
2020,46.05,63.9,109,0,66.83
2009,55.06,90.2,0,0,59.22
2013,32.07,85.3,62,0,68.05
2006,34.68,85.0,33,0,63.44
2022,40.06,82.8,102,0,78.74
2010,71.58,62.7,9,0,51.82
2013,8.65,71.0,127,0,68.98
2005,31.71,71.6,6,0,43.36
2013,5.56,57.9,55,0,49.49
2020,47.25,69.4,79,1,84.43
2017,37.12,69.5,11,0,63.45
2013,44.06,76.3,144,1,80.52
2017,43.06,95.0,47,1,78.64
2013,59.81,74.8,25,1,73.75
2015,50.76,76.3,111,0,69.11
2008,56.61,72.5,121,0,57.54
2006,18.69,82.4,11,0,59.67
2010,63.86,64.3,148,1,67.01
2018,25.55,94.0,41,0,69.76
2008,26.7,73.8,60,1,66.45
2010,45.42,71.0,57,1,66.47
2023,46.04,84.7,33,0,76.15
2010,18.56,66.1,6,0,49.11
2006,36.53,82.2,108,1,77.84
2022,69.76,89.1,34,0,75.67
2017,10.63,72.6,14,0,55.86
2013,69.7,95.0,24,1,85.96
2023,35.17,81.4,58,0,68.36
2017,1.0,81.6,78,1,67.27
2015,12.67,88.7,85,1,77.17
2005,20.73,91.3,133,1,77.75
2011,27.52,77.6,87,0,67.08
2019,37.91,83.0,148,0,76.23
2005,1.0,89.0,70,0,54.77
2016,43.74,63.4,120,0,64.43
2011,18.9,57.7,92,0,53.92
2019,67.81,74.4,95,0,74.64
2023,34.6,57.5,31,0,66.04
2005,58.86,71.9,52,0,52.29
2021,62.21,78.1,58,1,78.62
2021,61.67,72.2,68,0,77.05
2007,28.67,73.6,131,0,51.88
2016,28.42,65.0,85,1,65.11
2010,35.5,82.9,17,1,65.96
2015,52.72,64.4,80,0,54.27
2007,29.79,54.0,113,0,47.77
2012,37.61,72.9,23,0,62.59
2018,45.47,84.2,65,1,81.33
2018,21.9,75.8,140,1,80.58
2014,20.64,63.4,61,1,68.98
2006,36.83,76.0,53,0,55.06
2018,39.48,79.4,142,0,86.35
2013,48.68,75.9,130,0,66.43
2007,53.44,72.4,36,1,64.53
2012,18.02,79.9,36,1,64.49
2020,23.76,57.6,130,1,71.6
2006,20.58,66.1,34,0,47.17
2010,68.25,61.9,123,0,60.97
2016,37.59,88.5,17,0,68.51
2009,40.32,82.1,121,1,73.22
2006,41.16,76.9,47,1,66.54
2020,25.69,60.5,16,0,54.65
2009,71.29,82.4,134,0,69.8
2019,48.22,88.9,56,0,81.03
2016,40.79,80.7,7,0,64.16
2008,17.89,74.6,127,1,68.68
2019,16.76,81.3,116,0,65.73
2015,33.82,77.7,55,1,70.46
2020,26.0,84.3,125,0,68.12
2010,18.65,84.0,58,1,78.99
2018,32.58,72.8,57,0,71.41
2022,35.67,68.4,139,1,81.07
2016,42.84,71.0,107,0,76.83
2015,29.92,80.4,73,0,70.17
2017,19.85,71.6,147,0,64.87
2015,20.54,67.5,100,0,61.69
2020,64.26,75.0,47,0,78.29
2019,14.96,86.1,70,0,65.58
2019,47.26,76.4,115,1,74.35
2008,50.39,72.2,121,0,64.16
2015,37.57,78.2,77,1,71.65
2023,75.36,75.8,28,1,71.72
2019,50.03,55.7,92,0,54.92
2008,76.86,82.0,72,1,74.96
2017,26.98,79.1,99,0,68.38
2023,27.32,75.2,73,0,70.12
2006,50.55,85.6,94,0,75.92
2018,34.77,87.1,16,1,76.94
2008,73.71,83.0,136,0,73.14
2020,46.83,66.5,96,0,58.94
2024,19.11,66.8,8,0,61.73
2018,5.26,86.2,134,1,80.65
2019,38.44,56.2,143,0,55.35
2007,38.22,73.5,18,1,58.32
2012,46.28,79.4,133,1,79.34
2020,64.21,57.5,113,1,71.3
2014,61.58,77.3,138,1,79.5
2008,28.42,84.5,124,1,75.84
2022,14.12,60.1,60,0,68.98
2006,15.32,91.6,41,0,59.83
2021,25.26,64.9,12,0,68.49
2017,32.67,80.7,139,0,62.03
2008,46.1,74.2,84,0,61.34
2015,23.98,75.7,19,0,58.72
2011,45.61,62.2,49,0,52.51
2016,47.24,87.6,91,1,85.53
2014,42.87,78.3,87,0,66.04
2011,17.43,91.2,68,1,64.29
2017,49.36,62.4,36,0,52.07
2011,81.63,73.2,139,1,82.2
2021,44.92,77.1,98,1,72.8
2014,1.0,75.6,124,0,65.1
2014,64.82,81.7,53,0,71.03
2008,25.95,73.1,129,0,58.42
2024,85.31,95.0,40,0,87.09
2008,42.33,75.4,44,1,69.22
2011,6.31,46.2,102,1,46.04
2005,1.0,75.8,105,0,53.53
2016,70.79,87.6,136,0,74.33
2017,62.12,65.8,127,0,68.97
2014,84.52,65.1,85,0,69.93
2019,40.22,66.6,46,1,71.66
2017,38.87,64.2,4,0,60.79
2013,32.35,70.2,0,0,52.85
2013,26.83,84.1,43,0,64.31
2019,32.15,90.3,149,0,77.41
2014,44.35,50.8,37,1,57.56
2014,23.12,71.2,18,0,53.17
2012,6.61,78.0,114,1,67.15
2020,43.2,77.0,86,1,73.73
2021,22.68,94.0,122,0,70.83
2009,1.0,54.9,81,0,41.34
2008,51.05,49.1,140,1,62.74
2022,17.84,95.0,57,1,85.8
2023,53.24,82.5,145,1,82.62
2008,52.76,69.3,66,0,56.23
2011,45.67,76.7,121,1,77.52
2014,89.94,77.4,86,0,71.46
2022,37.24,69.0,130,1,71.12
2023,34.29,76.4,54,1,89.74
2008,53.67,78.5,88,0,63.29
2014,38.89,95.0,57,1,75.57
2005,63.21,84.6,62,0,65.76
2022,14.62,92.4,90,1,84.06
2009,14.96,61.6,51,0,41.07
2019,55.32,71.5,125,1,79.98
2021,16.7,77.4,23,0,70.09
2007,52.18,55.8,71,1,57.71
2016,47.4,86.8,8,0,59.42
2006,26.11,81.4,109,0,62.59
2005,47.34,71.3,93,0,60.43
2021,15.31,73.2,116,1,72.55
2020,20.0,87.5,82,0,69.97
2009,35.26,67.0,79,0,67.25
2019,41.58,87.9,148,0,75.52
2007,33.93,72.5,99,1,60.27
2011,48.66,82.6,39,0,65.45
2015,47.77,75.9,102,0,71.07
2014,70.59,95.0,61,0,81.0
2013,38.09,66.1,68,0,46.24
2018,63.89,69.3,141,0,68.36
2017,58.41,59.9,108,0,69.5
2006,85.88,64.0,3,1,65.48
2007,37.45,82.1,71,1,63.65
2011,31.59,91.0,16,0,72.05
2022,65.15,83.3,113,0,85.48
2007,47.71,74.9,84,1,66.95
2014,65.63,66.1,56,0,67.27
2011,54.34,84.0,106,1,88.24
2013,1.0,65.5,47,0,46.39
2021,47.53,61.5,116,0,69.26
2015,46.22,71.9,30,0,72.32
2011,42.66,54.7,111,1,65.34
2018,37.36,61.2,46,0,55.12
2023,8.16,93.9,133,0,80.4
2008,57.48,59.3,107,0,62.89
2010,47.48,63.1,71,1,59.15
2014,62.04,75.7,70,1,75.71
2011,9.22,76.2,107,0,58.44
2017,50.14,72.7,52,0,62.89
2018,35.31,55.0,141,1,69.44
2008,42.88,83.5,15,0,60.82
2012,35.54,70.6,115,0,65.18
2009,50.87,87.2,72,0,73.74
2005,36.74,68.6,73,1,55.07
2008,18.96,84.8,80,0,61.99
2007,41.73,88.0,11,1,70.12
2013,35.72,70.3,127,0,64.29
2012,38.33,83.8,69,0,66.62
2005,1.0,61.7,146,1,51.4
2010,53.65,77.6,40,0,70.14
2013,33.71,87.2,58,0,77.37
2011,13.04,80.2,88,1,71.98
2008,58.45,95.0,23,1,80.81
2017,52.73,80.7,143,1,83.69
2021,33.45,71.3,79,1,80.29
2006,16.96,95.0,133,1,63.28
2009,43.56,91.3,131,0,71.93
2016,42.46,59.0,91,0,56.34
2012,58.49,67.2,91,1,71.23
2010,31.13,64.6,80,0,60.44
2012,63.9,81.5,141,1,81.06
2022,29.19,80.7,70,1,78.03
2007,13.08,80.6,64,0,50.06
2016,17.35,58.7,51,1,60.76
2007,38.75,68.6,29,0,56.53
2010,38.69,73.5,98,0,57.25
2006,46.56,56.8,97,1,49.01
2016,38.19,66.3,41,0,71.09
2006,59.55,88.6,138,0,72.59
2010,34.78,59.5,26,0,49.14
2021,1.0,89.6,71,1,86.23
2007,37.58,85.9,17,1,69.75
2006,1.0,72.1,76,1,65.46
